date,cases,deaths,cum_cases,cum_deaths
1/3/2020,0,0,0,0
1/4/2020,0,0,0,0
1/5/2020,0,0,0,0
1/6/2020,0,0,0,0
1/7/2020,0,0,0,0
1/8/2020,0,0,0,0
1/9/2020,0,0,0,0
1/10/2020,0,0,0,0
1/11/2020,0,0,0,0
1/12/2020,0,0,0,0
1/13/2020,0,0,0,0
1/14/2020,0,0,0,0
1/15/2020,0,0,0,0
1/16/2020,0,0,0,0
1/17/2020,0,0,0,0
1/18/2020,0,0,0,0
1/19/2020,0,0,0,0
1/20/2020,1,0,1,0
1/21/2020,0,0,1,0
1/22/2020,0,0,1,0
1/23/2020,0,0,1,0
1/24/2020,0,0,1,0
1/25/2020,5,0,6,0
1/26/2020,1,0,7,0
1/27/2020,0,0,7,0
1/28/2020,1,0,8,0
1/29/2020,0,0,8,0
1/30/2020,0,0,8,0
1/31/2020,0,0,8,0
2/1/2020,0,0,8,0
2/2/2020,1,0,9,0
2/3/2020,1,0,10,0
2/4/2020,3,0,13,0
2/5/2020,4,0,17,0
2/6/2020,2,0,19,0
2/7/2020,0,0,19,0
2/8/2020,0,0,19,0
2/9/2020,1,0,20,0
2/10/2020,0,0,20,0
2/11/2020,0,0,20,0
2/12/2020,0,0,20,0
2/13/2020,0,0,20,0
2/14/2020,2,0,22,0
2/15/2020,1,0,23,0
2/16/2020,1,0,24,0
2/17/2020,0,0,24,0
2/18/2020,0,0,24,0
2/19/2020,2,0,26,0
2/20/2020,5,0,31,0
2/21/2020,3,0,34,0
2/22/2020,1,0,35,0
2/23/2020,5,0,40,0
2/24/2020,8,0,48,0
2/25/2020,0,0,48,0
2/26/2020,4,0,52,0
2/27/2020,4,0,56,0
2/28/2020,8,0,64,0
2/29/2020,5,1,69,1
3/1/2020,4,0,73,1
3/2/2020,9,1,82,2
3/3/2020,18,0,100,2
3/4/2020,35,6,135,8
3/5/2020,51,3,186,11
3/6/2020,70,2,256,13
3/7/2020,78,3,334,16
3/8/2020,130,3,464,19
3/9/2020,146,5,610,24
3/10/2020,212,4,822,28
3/11/2020,390,4,1212,32
3/12/2020,497,7,1709,39
3/13/2020,525,12,2234,51
3/14/2020,727,7,2961,58
3/15/2020,968,11,3929,69
3/16/2020,1219,13,5148,82
3/17/2020,2135,18,7283,100
3/18/2020,2369,21,9652,121
3/19/2020,3229,28,12881,149
3/20/2020,4862,64,17743,213
3/21/2020,6113,69,23856,282
3/22/2020,7559,92,31415,374
3/23/2020,9110,112,40525,486
3/24/2020,10765,118,51290,604
3/25/2020,10754,164,62044,768
3/26/2020,11332,209,73376,977
3/27/2020,14115,301,87491,1278
3/28/2020,18474,341,105965,1619
3/29/2020,20344,487,126309,2106
3/30/2020,20673,556,146982,2662
3/31/2020,26161,665,173143,3327
4/1/2020,15536,631,188679,3958
4/2/2020,23260,982,211939,4940
4/3/2020,28674,1121,240613,6061
4/4/2020,29790,1311,270403,7372
4/5/2020,32057,1376,302460,8748
4/6/2020,32134,1540,334594,10288
4/7/2020,26984,1873,361578,12161
4/8/2020,28629,1691,390207,13852
4/9/2020,29355,2093,419562,15945
4/10/2020,34148,2221,453710,18166
4/11/2020,34743,2230,488453,20396
4/12/2020,33179,2241,521632,22637
4/13/2020,31535,2192,553167,24829
4/14/2020,27094,1857,580261,26686
4/15/2020,25244,1905,605505,28591
4/16/2020,25259,2432,630764,31023
4/17/2020,25208,2731,655972,33754
4/18/2020,31494,2445,687466,36199
4/19/2020,30316,2336,717782,38535
4/20/2020,28281,1848,746063,40383
4/21/2020,26070,1993,772133,42376
4/22/2020,26428,2077,798561,44453
4/23/2020,25927,2673,824488,47126
