date,cases,deaths,cum_cases,cum_deaths,mortality
1/3/2020,0,0,0,0,0
1/4/2020,0,0,0,0,0
1/5/2020,0,0,0,0,0
1/6/2020,0,0,0,0,0
1/7/2020,0,0,0,0,0
1/8/2020,0,0,0,0,0
1/9/2020,0,0,0,0,0
1/10/2020,0,0,0,0,0
1/11/2020,0,0,0,0,0
1/12/2020,0,0,0,0,0
1/13/2020,0,0,0,0,0
1/14/2020,0,0,0,0,0
1/15/2020,0,0,0,0,0
1/16/2020,0,0,0,0,0
1/17/2020,0,0,0,0,0
1/18/2020,0,0,0,0,0
1/19/2020,0,0,0,0,0
1/20/2020,1,0,1,0,0
1/21/2020,0,0,1,0,0
1/22/2020,0,0,1,0,0
1/23/2020,0,0,1,0,0
1/24/2020,0,0,1,0,0
1/25/2020,5,0,6,0,0
1/26/2020,1,0,7,0,0
1/27/2020,0,0,7,0,0
1/28/2020,1,0,8,0,0
1/29/2020,0,0,8,0,0
1/30/2020,0,0,8,0,0
1/31/2020,0,0,8,0,0
2/1/2020,0,0,8,0,0
2/2/2020,1,0,9,0,0
2/3/2020,1,0,10,0,0
2/4/2020,3,0,13,0,0
2/5/2020,4,0,17,0,0
2/6/2020,2,0,19,0,0
2/7/2020,0,0,19,0,0
2/8/2020,0,0,19,0,0
2/9/2020,1,0,20,0,0
2/10/2020,0,0,20,0,0
2/11/2020,0,0,20,0,0
2/12/2020,0,0,20,0,0
2/13/2020,0,0,20,0,0
2/14/2020,2,0,22,0,0
2/15/2020,1,0,23,0,0
2/16/2020,1,0,24,0,0
2/17/2020,0,0,24,0,0
2/18/2020,0,0,24,0,0
2/19/2020,2,0,26,0,0
2/20/2020,5,0,31,0,0
2/21/2020,3,0,34,0,0
2/22/2020,1,0,35,0,0
2/23/2020,5,0,40,0,0
2/24/2020,8,0,48,0,0
2/25/2020,0,0,48,0,0
2/26/2020,4,0,52,0,0
2/27/2020,4,0,56,0,0
2/28/2020,8,0,64,0,0
2/29/2020,5,1,69,1,0.2
3/1/2020,4,0,73,1,0
3/2/2020,9,1,82,2,0.111111111
3/3/2020,18,0,100,2,0
3/4/2020,35,6,135,8,0.171428571
3/5/2020,51,3,186,11,0.058823529
3/6/2020,70,2,256,13,0.028571429
3/7/2020,78,3,334,16,0.038461538
3/8/2020,130,3,464,19,0.023076923
3/9/2020,146,5,610,24,0.034246575
3/10/2020,212,4,822,28,0.018867925
3/11/2020,390,4,1212,32,0.01025641
3/12/2020,497,7,1709,39,0.014084507
3/13/2020,525,12,2234,51,0.022857143
3/14/2020,727,7,2961,58,0.009628611
3/15/2020,968,11,3929,69,0.011363636
3/16/2020,1219,13,5148,82,0.010664479
3/17/2020,2135,18,7283,100,0.008430913
3/18/2020,2369,21,9652,121,0.0088645
3/19/2020,3229,28,12881,149,0.008671415
3/20/2020,4862,64,17743,213,0.013163307
3/21/2020,6113,69,23856,282,0.01128742
3/22/2020,7559,92,31415,374,0.012170922
3/23/2020,9110,112,40525,486,0.012294182
3/24/2020,10765,118,51290,604,0.010961449
3/25/2020,10754,164,62044,768,0.015250139
3/26/2020,11332,209,73376,977,0.018443346
3/27/2020,14115,301,87491,1278,0.021324832
3/28/2020,18474,341,105965,1619,0.018458374
3/29/2020,20344,487,126309,2106,0.023938262
3/30/2020,20673,556,146982,2662,0.026894984
3/31/2020,26161,665,173143,3327,0.025419518
4/1/2020,15536,631,188679,3958,0.040615345
4/2/2020,23260,982,211939,4940,0.042218401
4/3/2020,28674,1121,240613,6061,0.03909465
4/4/2020,29790,1311,270403,7372,0.044008056
4/5/2020,32057,1376,302460,8748,0.042923542
4/6/2020,32134,1540,334594,10288,0.047924317
4/7/2020,26984,1873,361578,12161,0.069411503
4/8/2020,28629,1691,390207,13852,0.059065982
4/9/2020,29355,2093,419562,15945,0.071299608
4/10/2020,34148,2221,453710,18166,0.065040412
4/11/2020,34743,2230,488453,20396,0.064185591
4/12/2020,33179,2241,521632,22637,0.067542723
4/13/2020,31535,2192,553167,24829,0.069510068
4/14/2020,27094,1857,580261,26686,0.06853916
4/15/2020,25244,1905,605505,28591,0.075463476
4/16/2020,25259,2432,630764,31023,0.096282513
4/17/2020,25208,2731,655972,33754,0.108338623
4/18/2020,31494,2445,687466,36199,0.077633835
4/19/2020,30316,2336,717782,38535,0.07705502
4/20/2020,28281,1848,746063,40383,0.065344224
4/21/2020,26070,1993,772133,42376,0.076448025
4/22/2020,26428,2077,798561,44453,0.078590888
4/23/2020,25927,2673,824488,47126,0.103097157
4/24/2020,30470,2221,854958,49347,0.072891369
4/25/2020,33211,1984,888169,51331,0.059739243
4/26/2020,34778,2103,922947,53434,0.060469262
4/27/2020,33603,1892,956550,55326,0.056304497
4/28/2020,26063,1535,982613,56861,0.058895753
4/29/2020,23758,1489,1006371,58350,0.062673626
4/30/2020,23935,2111,1030306,60461,0.088197201
5/1/2020,26774,2417,1057080,62878,0.090274147
5/2/2020,31221,2238,1088301,65116,0.071682521
5/3/2020,33082,1953,1121383,67069,0.059035125
5/4/2020,28292,1609,1149675,68678,0.0568712
5/5/2020,25927,1412,1175602,70090,0.054460601
5/6/2020,22324,1271,1197926,71361,0.056934241
5/7/2020,22878,2434,1220804,73795,0.106390419
5/8/2020,25440,2341,1246244,76136,0.09202044
5/9/2020,28552,2033,1274796,78169,0.071203418
5/10/2020,28833,1658,1303629,79827,0.057503555
5/11/2020,25917,1491,1329546,81318,0.057529807
5/12/2020,20656,1073,1350202,82391,0.051946166
5/13/2020,19950,1034,1370152,83425,0.051829574
5/14/2020,23902,1533,1394054,84958,0.064136892
5/15/2020,17336,1507,1411390,86465,0.086928934
5/16/2020,34643,1943,1446033,88408,0.056086367
5/17/2020,26628,1549,1472661,89957,0.058171849
5/18/2020,26081,1239,1498742,91196,0.047505847
5/19/2020,19917,927,1518659,92123,0.046543154
5/20/2020,22744,946,1541403,93069,0.041593387
5/21/2020,21923,1179,1563326,94248,0.053779136
5/22/2020,23506,1374,1586832,95622,0.058453161
5/23/2020,26191,1083,1613023,96705,0.041350082
5/24/2020,25963,1810,1638986,98515,0.069714594
5/25/2020,21465,937,1660451,99452,0.043652457
5/26/2020,20651,788,1681102,100240,0.038157958
5/27/2020,19379,687,1700481,100927,0.035450746
5/28/2020,17510,811,1717991,101738,0.046316391
5/29/2020,19508,1285,1737499,103023,0.065870412
5/30/2020,24182,1251,1761681,104274,0.051732694
5/31/2020,23741,1051,1785422,105325,0.044269407
6/1/2020,24127,906,1809549,106231,0.037551291
6/2/2020,21466,673,1831015,106904,0.031351905
6/3/2020,17157,691,1848172,107595,0.040275106
6/4/2020,20974,934,1869146,108529,0.044531324
6/5/2020,20695,1022,1889841,109551,0.049383909
6/6/2020,20870,885,1910711,110436,0.042405367
6/7/2020,24491,876,1935202,111312,0.035768241
6/8/2020,23285,669,1958487,111981,0.028730943
6/9/2020,18455,593,1976942,112574,0.032132213
6/10/2020,18151,776,1995093,113350,0.042752465
6/11/2020,18581,827,2013674,114177,0.044507831
6/12/2020,22181,882,2035855,115059,0.039763762
6/13/2020,22890,888,2058745,115947,0.038794233
6/14/2020,28333,735,2087078,116682,0.025941482
6/15/2020,26434,685,2113512,117367,0.025913596
6/16/2020,20778,489,2134290,117856,0.023534508
6/17/2020,20591,525,2154881,118381,0.025496576
6/18/2020,24777,674,2179658,119055,0.027202648
6/19/2020,25816,684,2205474,119739,0.026495197
6/20/2020,28520,643,2233994,120382,0.022545582
6/21/2020,33105,755,2267099,121137,0.022806223
6/22/2020,33467,576,2300566,121713,0.017210984
6/23/2020,27345,413,2327911,122126,0.01510331
6/24/2020,28698,415,2356609,122541,0.014460938
6/25/2020,37887,746,2394496,123287,0.019690131
6/26/2020,37320,692,2431816,123979,0.018542337
6/27/2020,47021,2533,2478837,126512,0.053869548
6/28/2020,46540,706,2525377,127218,0.015169746
6/29/2020,43653,593,2569030,127811,0.013584404
6/30/2020,37583,439,2606613,128250,0.011680813
7/1/2020,38517,461,2645130,128711,0.011968741
7/2/2020,47253,662,2692383,129373,0.014009693
7/3/2020,59342,782,2751725,130155,0.01317785
7/4/2020,55452,704,2807177,130859,0.012695665
7/5/2020,60366,810,2867543,131669,0.013418149
7/6/2020,48978,539,2916521,132208,0.011004941
7/7/2020,40413,460,2956934,132668,0.011382476
7/8/2020,50763,598,3007697,133266,0.011780234
7/9/2020,56754,928,3064451,134194,0.01635127
7/10/2020,64775,1079,3129226,135273,0.016657661
7/11/2020,61943,961,3191169,136234,0.015514263
7/12/2020,68579,964,3259748,137198,0.014056781
7/13/2020,68262,889,3328010,138087,0.013023351
7/14/2020,58680,840,3386690,138927,0.014314928
7/15/2020,56287,731,3442977,139658,0.012987013
7/16/2020,64516,914,3507493,140572,0.014167028
7/17/2020,72389,1122,3579882,141694,0.015499592
7/18/2020,69181,1089,3649063,142783,0.015741316
7/19/2020,76952,1081,3726015,143864,0.014047718
7/20/2020,67324,1005,3793339,144869,0.014927812
7/21/2020,60012,932,3853351,145801,0.015530227
7/22/2020,58519,867,3911870,146668,0.014815701
7/23/2020,63336,1193,3975206,147861,0.018836049
7/24/2020,72416,1191,4047622,149052,0.016446642
7/25/2020,73142,1254,4120764,150306,0.017144732
7/26/2020,73152,1284,4193916,151590,0.017552493
7/27/2020,61596,1148,4255512,152738,0.018637574
7/28/2020,57759,951,4313271,153689,0.016464966
7/29/2020,54007,936,4367278,154625,0.017331087
7/30/2020,58708,1163,4425986,155788,0.019809907
7/31/2020,64855,1179,4490841,156967,0.018179015
8/1/2020,66141,1400,4556982,158367,0.021166901
8/2/2020,68184,1369,4625166,159736,0.020078024
8/3/2020,56412,1164,4681578,160900,0.020633908
8/4/2020,50849,922,4732427,161822,0.018132117
8/5/2020,45329,853,4777756,162675,0.018817975
8/6/2020,52056,1072,4829812,163747,0.020593207
8/7/2020,55592,1260,4885404,165007,0.022665132
8/8/2020,53165,1211,4938569,166218,0.022778144
8/9/2020,62506,1317,5001075,167535,0.021069977
8/10/2020,51679,1043,5052754,168578,0.020182279
8/11/2020,46473,900,5099227,169478,0.019366084
8/12/2020,43377,795,5142604,170273,0.018327685
8/13/2020,58958,1098,5201562,171371,0.018623427
8/14/2020,54392,1326,5255954,172697,0.024378585
8/15/2020,51522,1195,5307476,173892,0.023193975
8/16/2020,56261,1047,5363737,174939,0.018609694
8/17/2020,51137,952,5414874,175891,0.018616657
8/18/2020,41495,889,5456369,176780,0.021424268
8/19/2020,41589,637,5497958,177417,0.01531655
8/20/2020,41625,928,5539583,178345,0.022294294
8/21/2020,46574,1264,5586157,179609,0.027139606
8/22/2020,46187,1000,5632344,180609,0.021651114
